Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Landsize,Lattitude,Longtitude,Propertycount
3,630000,13.8,3018,2,1,311,-37.8702,144.8143,5301
2,406000,13.8,3018,2,1,65,-37.8693,144.8171,5301
3,660000,13.8,3018,3,1,602,-37.8616,144.8116,5301
3,683500,13.8,3018,3,1,530,-37.8594,144.817,5301
2,580000,13.8,3018,2,1,225,-37.8696,144.827,5301
3,1335000,13.8,3018,3,1,777,-37.8697,144.8249,5301
3,800000,13.8,3018,3,2,280,-37.8734,144.8143,5301
2,510000,13.8,3018,2,1,127,-37.8686,144.8182,5301
4,1070000,13.8,3018,4,2,695,-37.8733,144.8147,5301
2,425000,13.8,3018,2,1,115,-37.871,144.8185,5301
3,605000,13.8,3018,3,2,230,-37.8646,144.827,5301
3,705000,13.8,3018,3,2,197,-37.8579,144.8181,5301
2,391000,13.8,3018,2,1,0,-37.8678,144.8384,5301
2,440000,13.8,3018,2,1,0,-37.8659,144.831,5301
4,845000,13.8,3018,4,1,745,-37.8658,144.8155,5301
3,743000,13.8,3018,3,2,211,-37.8698,144.816,5301
3,730000,13.8,3018,3,2,69,-37.868,144.8286,5301
3,635000,13.8,3018,3,1,625,-37.8611,144.8114,5301
2,620000,13.8,3018,2,1,168,-37.8676,144.8202,5301
2,447000,13.8,3018,2,1,137,-37.8655,144.8299,5301
3,730000,13.8,3018,3,2,70,-37.868,144.8287,5301
3,678000,13.8,3018,3,1,606,-37.8608,144.8124,5301
2,580000,13.8,3018,2,2,175,-37.8687,144.8268,5301
3,712000,13.8,3018,3,1,363,-37.8674,144.8375,5301
3,840000,13.8,3018,3,2,534,-37.86,144.8245,5301
3,980000,13.8,3018,3,1,724,-37.8672,144.817,5301
3,605100,13.8,3018,3,2,265,-37.8583,144.8172,5301
3,880000,13.8,3018,3,3,577,-37.8699,144.8235,5301
3,577000,13.8,3018,3,2,205,-37.8684,144.815,5301
4,1030000,13.8,3018,4,1,797,-37.8663,144.8387,5301
3,605000,13.8,3018,3,1,181,-37.8659,144.822,5301
3,753000,13.8,3018,3,2,529,-37.8612,144.8247,5301
2,857000,13.8,3018,2,2,675,-37.8653,144.8129,5301
3,1500000,13.8,3018,3,1,929,-37.8651,144.832,5301
3,730000,13.8,3018,3,2,70,-37.868,144.8285,5301
3,900000,13.8,3018,3,1,697,-37.871,144.8075,5301
3,740000,13.8,3018,3,1,604,-37.8631,144.8195,5301
4,931000,13.8,3018,4,2,532,-37.8637,144.8365,5301
2,535600,13.8,3018,2,1,154,-37.8646,144.8272,5301
5,1085000,11.1,3025,5,3,592,-37.8388,144.8567,5132
3,781000,11.1,3025,3,1,533,-37.8291,144.835,5132
3,750000,11.1,3025,3,1,554,-37.8449,144.85,5132
2,421000,11.1,3025,2,1,77,-37.8351,144.8529,5132
3,1405000,11.1,3025,3,1,655,-37.8338,144.8562,5132
3,683000,11.1,3025,3,1,534,-37.8284,144.8355,5132
3,623000,11.1,3025,3,1,540,-37.8267,144.8368,5132
3,720000,11.1,3025,3,2,0,-37.8379,144.8583,5132
3,588000,11.1,3025,3,1,328,-37.838,144.8555,5132
3,710000,11.1,3025,3,1,540,-37.8294,144.8378,5132
4,875000,11.1,3025,3,1,559,-37.8448,144.8529,5132
3,700000,11.1,3025,3,1,554,-37.8449,144.85,5132
2,640000,11.1,3025,2,1,252,-37.8397,144.8602,5132
4,650000,11.1,3025,4,1,558,-37.8451,144.8529,5132
3,675000,11.1,3025,3,2,171,-37.8337,144.8554,5132
3,708000,11.1,3025,3,1,585,-37.8258,144.8523,5132
4,965000,11.1,3025,4,1,851,-37.8345,144.8444,5132
3,680000,11.1,3025,3,1,551,-37.8254,144.8514,5132
3,770000,11.1,3025,3,1,602,-37.8327,144.8451,5132
3,923000,11.1,3025,3,1,740,-37.8269,144.8455,5132
4,693000,11.1,3025,4,2,315,-37.8391,144.8467,5132
3,620000,11.1,3025,5,2,276,-37.8262,144.8443,5132
3,728500,11.1,3025,3,1,531,-37.8277,144.8385,5132
3,931000,11.1,3025,3,2,590,-37.8382,144.8649,5132
3,988000,11.1,3025,3,1,715,-37.8423,144.8632,5132
3,590000,11.1,3025,3,1,561,-37.8444,144.8491,5132
2,610000,11.1,3025,2,1,691,-37.834,144.8553,5132
3,815000,11.1,3025,3,2,555,-37.8318,144.8388,5132
4,970000,11.1,3025,4,1,708,-37.833,144.8494,5132
4,760000,11.1,3025,4,1,668,-37.8262,144.8439,5132
4,847500,11.1,3025,4,3,252,-37.8393,144.8568,5132
4,1200000,11.1,3025,4,1,633,-37.8375,144.8541,5132
3,700000,11.1,3025,3,1,557,-37.8441,144.8505,5132
3,625000,11.1,3025,3,1,536,-37.8285,144.8351,5132
2,292000,11.1,3025,2,1,153,-37.8332,144.8649,5132
2,599000,6.3,3143,2,1,0,-37.8543,145.0262,4836
2,550000,6.3,3143,2,1,861,-37.8539,145.0284,4836
3,995000,6.3,3143,3,2,0,-37.8552,145.016,4836
3,1205000,6.3,3143,3,2,101,-37.854,145.0135,4836
3,1939000,6.3,3143,3,2,296,-37.8614,145.0274,4836
1,421500,6.3,3143,1,1,0,-37.853,145.0167,4836
3,1870000,6.3,3143,3,1,217,-37.8592,145.0182,4836
2,678000,6.3,3143,2,1,0,-37.8538,145.0127,4836
3,1918000,6.3,3143,3,2,0,-37.8537,145.0267,4836
2,660000,6.3,3143,2,1,0,-37.8619,145.0257,4836
3,2050000,6.3,3143,3,2,205,-37.8574,145.0281,4836
2,700000,6.3,3143,2,1,0,-37.8552,145.016,4836
2,3625000,6.3,3143,3,2,0,-37.8555,145.0291,4836
4,3000000,6.3,3143,4,2,1581,-37.858,145.0111,4836
5,1525000,6.3,3143,8,2,693,-37.8638,145.0229,4836
3,735000,6.3,3143,3,2,2113,-37.8543,145.0262,4836
2,825000,6.3,3143,2,1,0,-37.8528,145.0268,4836
3,1586000,6.3,3143,2,2,246,-37.8566,145.0116,4836
2,645000,6.3,3143,3,1,0,-37.8596,145.0198,4836
1,1435000,6.3,3143,2,2,144,-37.8564,145.0228,4836
1,280000,6.3,3143,1,1,0,-37.8619,145.0185,4836
1,400000,6.3,3143,1,1,0,-37.8605,145.0185,4836
2,1780000,6.3,3143,2,2,0,-37.8537,145.0267,4836
2,592500,6.3,3143,2,1,0,-37.8574,145.0174,4836
2,1210000,6.3,3143,2,1,249,-37.8543,145.016,4836
4,2801000,6.3,3143,4,2,624,-37.8536,145.0173,4836
1,390000,6.3,3143,1,1,881,-37.8614,145.0222,4836
3,1800000,6.3,3143,3,2,405,-37.8545,145.0145,4836
4,2200000,6.3,3143,4,1,495,-37.8613,145.0264,4836
1,324000,6.3,3143,1,1,0,-37.8537,145.0114,4836
6,5525000,6.3,3143,5,3,1491,-37.8602,145.013,4836
2,1125000,6.3,3143,3,1,169,-37.851,145.0161,4836
3,2250000,6.3,3143,3,3,301,-37.8511,145.0167,4836
3,2360000,6.3,3143,3,2,336,-37.8558,145.015,4836
2,1900000,6.3,3143,2,2,207,-37.8571,145.0224,4836
1,440000,6.3,3143,1,1,0,-37.8531,145.0115,4836
2,490000,6.3,3143,2,1,0,-37.8646,145.0247,4836
3,2365000,6.3,3143,3,2,316,-37.8521,145.019,4836
3,1300000,6.3,3143,2,1,212,-37.8542,145.0149,4836
3,732000,6.3,3143,3,2,0,-37.8597,145.0104,4836
2,704000,6.3,3143,2,1,0,-37.8573,145.0186,4836
2,620000,6.3,3143,3,1,0,-37.8596,145.0198,4836
3,1900000,6.3,3143,3,1,328,-37.8559,145.0158,4836
1,315000,6.3,3143,1,1,0,-37.8575,145.0174,4836
1,450000,6.3,3143,1,1,0,-37.8509,145.0203,4836
2,710000,6.3,3143,2,1,2471,-37.8573,145.0186,4836
2,872000,6.3,3143,2,1,1194,-37.8604,145.0147,4836
2,598000,6.3,3143,2,1,0,-37.8593,145.0156,4836
3,1285000,6.3,3143,3,1,186,-37.8554,145.0173,4836
4,3660000,6.3,3143,4,3,421,-37.8593,145.0275,4836
2,520000,6.3,3143,1,1,0,-37.8618,145.0183,4836
4,3625000,6.3,3143,4,1,709,-37.8574,145.016,4836
4,4200000,6.3,3143,4,3,563,-37.8582,145.0138,4836
3,1101000,6.3,3143,3,1,103,-37.8542,145.0135,4836
3,3512500,6.3,3143,3,2,617,-37.8557,145.0264,4836
4,2000000,6.3,3143,4,3,544,-37.8611,145.0195,4836
3,869000,6.3,3143,2,1,0,-37.853,145.0264,4836
5,2810000,6.3,3143,5,2,617,-37.8611,145.0271,4836
2,565000,6.3,3143,3,1,0,-37.8573,145.0112,4836
1,567000,6.3,3143,1,1,0,-37.8549,145.0113,4836
2,546000,6.3,3143,2,0,0,-37.8568,145.0161,4836
2,471500,6.3,3143,2,1,0,-37.8503,145.0185,4836
2,455000,5.9,3032,3,1,0,-37.7756,144.9165,6567
3,940000,5.9,3032,3,1,298,-37.7777,144.9195,6567
2,467000,5.9,3032,2,1,0,-37.7761,144.9201,6567
3,1380000,5.9,3032,3,2,277,-37.7777,144.9221,6567
2,490000,5.9,3032,2,1,423,-37.7736,144.9015,6567
4,1850000,5.9,3032,4,3,478,-37.7729,144.9179,6567
3,1284000,5.9,3032,3,1,623,-37.7758,144.9089,6567
3,971000,5.9,3032,3,2,285,-37.775,144.9091,6567
2,710000,5.9,3032,2,1,214,-37.7776,144.9142,6567
6,2425000,5.9,3032,6,3,1014,-37.7721,144.9184,6567
2,750000,5.9,3032,2,1,226,-37.7745,144.9093,6567
2,1053000,5.9,3032,2,1,269,-37.7748,144.929,6567
3,1377000,5.9,3032,3,1,417,-37.7756,144.9208,6567
3,970000,5.9,3032,3,1,350,-37.7759,144.91,6567
2,940000,5.9,3032,2,1,330,-37.773,144.9049,6567
2,751000,5.9,3032,2,1,118,-37.7807,144.9288,6567
2,950000,5.9,3032,2,1,173,-37.7731,144.9206,6567
2,685000,5.9,3032,2,1,228,-37.7718,144.9066,6567
3,1230000,5.9,3032,4,1,594,-37.7819,144.9064,6567
2,636500,5.9,3032,2,1,0,-37.7738,144.9345,6567
3,910000,5.9,3032,3,1,317,-37.7746,144.9112,6567
2,770000,5.9,3032,2,1,226,-37.7774,144.9186,6567
3,960000,5.9,3032,3,2,229,-37.7778,144.9065,6567
4,890000,5.9,3032,4,1,300,-37.7766,144.9143,6567
2,965000,5.9,3032,2,1,170,-37.7732,144.9206,6567
3,1440000,5.9,3032,3,1,487,-37.7725,144.9146,6567
2,955000,5.9,3032,2,1,255,-37.7825,144.9208,6567
2,450000,5.9,3032,2,1,0,-37.7731,144.9074,6567
3,801000,5.9,3032,3,1,431,-37.781,144.9207,6567
3,1000000,5.9,3032,3,2,440,-37.7746,144.9031,6567
3,1435000,5.9,3032,3,2,532,-37.7737,144.904,6567
1,390000,5.9,3032,1,1,0,-37.7723,144.9094,6567
3,1425000,5.9,3032,3,2,495,-37.7821,144.9055,6567
4,1340000,5.9,3032,3,2,683,-37.775,144.932,6567
3,955000,5.9,3032,3,1,263,-37.7753,144.9116,6567
4,1100000,5.9,3032,4,2,559,-37.7791,144.9136,6567
3,1255000,5.9,3032,3,2,308,-37.7759,144.9338,6567
2,432000,5.9,3032,2,1,0,-37.773,144.9303,6567
4,1640000,5.9,3032,4,3,562,-37.782,144.903,6567
6,1430000,5.9,3032,4,2,461,-37.78,144.9295,6567
2,610000,5.9,3032,2,1,301,-37.7791,144.914,6567
3,940000,5.9,3032,3,3,491,-37.7727,144.9136,6567
3,890000,5.9,3032,3,1,242,-37.7765,144.9114,6567
3,1180000,5.9,3032,3,2,617,-37.7742,144.906,6567
4,1480000,5.9,3032,4,2,597,-37.7757,144.9088,6567
2,1150000,5.9,3032,2,1,387,-37.7734,144.9191,6567
3,1350000,5.9,3032,3,1,575,-37.7828,144.9049,6567
5,1905000,5.9,3032,5,2,521,-37.7778,144.9261,6567
2,865000,5.9,3032,2,2,146,-37.7713,144.9038,6567
2,705000,5.9,3032,2,2,113,-37.7712,144.9088,6567
2,442000,5.9,3032,2,1,0,-37.7733,144.9219,6567
2,540000,5.9,3032,2,2,0,-37.7786,144.9141,6567
3,1037500,5.9,3032,3,1,506,-37.7779,144.9133,6567
3,1050000,5.9,3032,3,2,318,-37.7744,144.9035,6567
2,440000,5.9,3032,2,1,0,-37.7749,144.9137,6567
2,1010000,5.9,3032,2,1,325,-37.7722,144.9117,6567
4,1430000,5.9,3032,4,2,418,-37.7766,144.9187,6567
2,570000,5.9,3032,2,1,0,-37.7779,144.9137,6567
2,690000,5.9,3032,2,1,0,-37.7728,144.9169,6567
3,1291000,5.9,3032,3,1,414,-37.7766,144.9185,6567
3,1130000,5.9,3032,3,2,272,-37.7774,144.928,6567
3,1135000,5.9,3032,3,1,296,-37.777,144.9176,6567
4,950000,5.9,3032,4,2,298,-37.7778,144.9131,6567
3,790000,5.9,3032,3,2,0,-37.7722,144.9163,6567
2,390000,5.9,3032,2,1,1957,-37.7731,144.9074,6567
4,1345000,5.9,3032,4,1,552,-37.7769,144.9138,6567
3,1381500,5.9,3032,3,2,416,-37.7727,144.9055,6567
3,940000,5.9,3032,3,2,285,-37.7778,144.9061,6567
3,995000,5.9,3032,3,2,314,-37.7778,144.9042,6567
3,1050000,5.9,3032,3,1,536,-37.7728,144.9076,6567
3,786000,5.9,3032,3,2,576,-37.7816,144.9217,6567
2,705000,5.9,3032,2,1,252,-37.7825,144.9206,6567
2,760000,5.9,3032,2,1,124,-37.7807,144.9285,6567
3,487500,5.9,3032,3,1,0,-37.7723,144.9094,6567
3,1000000,5.9,3032,3,2,200,-37.7766,144.9277,6567
4,1110000,5.9,3032,4,2,349,-37.7775,144.913,6567
4,1300000,5.9,3032,4,1,664,-37.7765,144.9132,6567
3,1060000,5.9,3032,3,1,555,-37.7767,144.9125,6567
3,1410000,5.9,3032,3,2,459,-37.7767,144.9124,6567
3,1305000,5.9,3032,2,1,278,-37.7768,144.9223,6567
3,932500,5.9,3032,3,2,254,-37.7738,144.9215,6567
3,965000,5.9,3032,3,1,216,-37.7792,144.9297,6567
3,1215000,5.9,3032,3,1,452,-37.7762,144.9174,6567
2,545000,5.9,3032,2,1,194,-37.7772,144.9118,6567
4,1705000,5.9,3032,4,2,598,-37.7774,144.9104,6567
3,970000,5.9,3032,2,1,194,-37.7756,144.921,6567
2,925000,5.9,3032,2,1,407,-37.7756,144.9105,6567
4,2650000,11,3147,4,3,753,-37.8669,145.0767,3052
3,1670000,11,3147,3,2,599,-37.8673,145.0688,3052
3,955000,11,3147,3,2,203,-37.8655,145.0807,3052
3,2050000,11,3147,3,3,310,-37.874,145.0714,3052
2,500000,11,3147,2,1,710,-37.8636,145.0794,3052
2,1575000,11,3147,2,1,679,-37.869,145.0822,3052
3,1555000,11,3147,3,2,731,-37.8666,145.0676,3052
3,1100000,11,3147,3,3,276,-37.8699,145.0778,3052
3,1337000,11,3147,3,1,583,-37.8685,145.0786,3052
8,2950000,11,3147,9,7,1472,-37.8729,145.0788,3052
4,2215000,11,3147,4,2,681,-37.8612,145.0858,3052
3,1518000,11,3147,3,2,516,-37.8675,145.0668,3052
3,1710000,11,3147,3,1,806,-37.8695,145.084,3052
3,1655000,11,3147,3,1,780,-37.8599,145.0815,3052
4,1550000,11,3147,4,2,780,-37.86,145.0817,3052
3,1662000,11,3147,3,2,351,-37.8742,145.07,3052
3,1665000,11,3147,3,2,702,-37.8737,145.0695,3052
2,1445000,11,3147,2,1,704,-37.8745,145.0738,3052
5,3510000,11,3147,5,5,755,-37.8598,145.0796,3052
3,968000,11,3147,3,1,227,-37.8709,145.0857,3052
3,900000,11,3147,3,2,153,-37.8655,145.0808,3052
3,1500000,11,3147,3,1,545,-37.8605,145.0833,3052
5,2752000,11,3147,6,4,1075,-37.8714,145.073,3052
3,1500000,11,3147,3,2,710,-37.8653,145.0897,3052
4,1800000,11,3147,4,2,749,-37.8669,145.077,3052
3,1830000,11,3147,3,2,724,-37.8619,145.0879,3052
3,1415000,11,3147,3,1,605,-37.8703,145.0774,3052
2,1440000,11,3147,2,1,687,-37.872,145.0692,3052
4,1250000,11,3147,4,2,321,-37.8693,145.08,3052
3,1422000,11,3147,3,1,583,-37.8679,145.0781,3052
5,1600000,11,3147,5,3,700,-37.8724,145.0758,3052
4,1860000,11,3147,4,2,696,-37.8711,145.0746,3052
3,1710000,11,3147,3,2,295,-37.8624,145.0798,3052
4,1790000,11,3147,4,2,514,-37.8664,145.0772,3052
4,1950000,11,3147,4,2,844,-37.8715,145.0688,3052
3,1600000,11,3147,3,1,637,-37.8645,145.0797,3052
3,1320000,11,3147,3,1,1063,-37.8752,145.0754,3052
3,1650000,11,3147,3,1,697,-37.8636,145.0903,3052
2,995000,12.2,3147,2,1,583,-37.8693,145.1082,2894
3,1250000,12.2,3147,3,1,842,-37.867,145.1092,2894
3,1045000,12.2,3147,3,2,467,-37.8639,145.0968,2894
4,1200000,12.2,3147,4,3,372,-37.8716,145.0999,2894
2,1075000,12.2,3147,2,1,695,-37.8694,145.0944,2894
4,1500000,12.2,3147,2,2,621,-37.8647,145.1023,2894
3,1120000,12.2,3147,3,1,723,-37.8642,145.1109,2894
2,700000,12.2,3147,2,1,367,-37.8662,145.109,2894
3,761000,12.2,3147,3,2,400,-37.8675,145.106,2894
4,1270000,12.2,3147,4,2,724,-37.8651,145.1109,2894
4,1510000,12.2,3147,4,2,526,-37.8661,145.1013,2894
3,1365000,12.2,3147,3,1,792,-37.864,145.0972,2894
4,1100000,12.2,3147,3,2,803,-37.8621,145.1126,2894
4,1415000,12.2,3147,4,3,724,-37.8651,145.1107,2894
2,690000,12.2,3147,2,1,216,-37.8711,145.1017,2894
3,1631000,12.2,3147,3,2,782,-37.8621,145.1021,2894
4,1500000,12.2,3147,4,2,593,-37.8655,145.096,2894
3,1060000,12.2,3147,2,1,772,-37.8707,145.1036,2894
5,1529500,12.2,3147,5,3,585,-37.8637,145.1024,2894
2,600000,12.2,3147,2,1,153,-37.8696,145.0962,2894
2,535000,12.2,3147,2,1,72,-37.8702,145.1042,2894
3,785000,12.2,3147,3,1,557,-37.8671,145.1117,2894
4,1240000,12.2,3147,4,2,766,-37.8629,145.1097,2894
2,700000,12.2,3147,2,1,192,-37.8709,145.102,2894
